Name,Diameter,"a
(AU)",e,"i
(°)","q
(AU)","Q
(AU)",Class
(535031) 2014 WL510,220,62.9,0.43,5,35.6,90.2,SDO
(578833) 2014 GV53,220,50.8,0.28,18,36.4,65.2,SDO
(578847) 2014 GJ65,220,51.6,0.22,47,40.1,63.1,SDO
(523767) 2014 WH510,218,75.9,0.57,19,32.7,119,SDO
472235 Zhulong,217,55.6,0.41,1,32.7,78.5,res · 2:5
(82075) 2000 YW134,216,57.4,0.28,20,41,73.7,res · 3:8
(469987) 2006 HJ123,216,39.7,0.31,12,27.5,51.9,plutino
(534073) 2014 QL441,216,49,0.27,26,36,62.1,other TNO
(183595) 2003 TG58,214,44.3,0.1,2,39.9,48.7,cubewano (cold)
(591392) 2013 PE84,214,46,0.15,9,39.3,52.7,cubewano (hot)
(33128) 1998 BU48,213,33.1,0.38,14,20.4,45.8,centaur
(533207) 2014 DJ143,213,38.1,0.02,7,37.3,38.8,other TNO
(559801) 2015 DX224,213,67.6,0.47,19,35.7,99.4,SDO
(82155) 2001 FZ173,212,85.2,0.62,13,32.4,138,SDO
(160147) 2001 KN76,212,44.1,0.1,3,39.8,48.3,cubewano (cold)
(182294) 2001 KU76,212,45.4,0.17,11,37.7,53.2,res · 6:11
(385201) 1999 RN215,212,43.3,0.07,12,40.2,46.4,cubewano (hot)
(385447) 2003 QF113,212,44,0.03,5,42.5,45.4,cubewano (cold)
(495297) 2013 TJ159,212,53.6,0.32,5,36.2,71,res · 3:7
(496315) 2013 GP136,212,155,0.73,34,41,269,EDDO
(508823) 2001 RX143,212,39.3,0.3,19,27.5,51.1,plutino
(523741) 2014 TY85,212,41.1,0.21,19,32.5,49.6,other TNO
(530231) 2011 BV163,212,44,0.1,5,39.6,48.4,cubewano (cold)
(533561) 2014 JN80,212,41.7,0.11,18,37.1,46.4,cubewano (hot)
(559179) 2015 BR518,212,43.5,0.11,10,38.5,48.4,res · 4:7
(603108) 2014 WB509,212,43.4,0.21,10,34.3,52.6,other TNO
(126719) 2002 CC249,208,46.9,0.19,1,38,55.9,other TNO
(469509) 2003 HC57,207,44.1,0.07,1,41,47.2,cubewano (cold)
(508338) 2015 SO20,206,169,0.8,23,33.2,305,ESDO
(534626) 2014 UT224,206,47.8,0.26,4,35.2,60.4,twotino
(553898) 2012 BZ159,206,44.6,0.15,7,38.1,51.1,cubewano (hot)
(60620) 2000 FD8,205,43.8,0.22,20,34,53.6,res · 4:7
(564160) 2016 FR59,205,36.2,0.03,10,34.9,37.4,other TNO
(303712) 2005 PR21,203,44.5,0.11,1,39.7,49.4,cubewano (cold)
53311 Deucalion,202,44.2,0.07,0,41.3,47.1,cubewano (cold)
(85633) 1998 KR65,202,43.8,0.03,1,42.6,45.1,cubewano (cold)
(119068) 2001 KC77,202,55.8,0.36,13,35.5,76.2,res · 2:5
(363401) 2003 LB7,202,46,0.14,2,39.7,52.3,cubewano (cold)
(505412) 2013 QO95,202,40.1,0.04,21,38.7,41.5,other TNO
(506439) 2000 YB2,202,38.5,0.03,4,37.3,39.8,other TNO
(523698) 2014 GD54,202,88.9,0.61,5,34.6,143,SDO
(525257) 2004 VS75,202,44.4,0.1,7,39.7,49,res · 5:9
(533211) 2014 DU143,202,36.7,0.13,14,31.7,41.6,res · 3:4
(535026) 2014 WV509,202,46.4,0.17,25,38.5,54.4,cubewano (hot)
(535029) 2014 WG510,202,39,0.21,18,30.7,47.4,plutino
(535030) 2014 WJ510,202,67.9,0.49,24,34.8,101,SDO
(535990) 2015 BW518,202,44.7,0.15,9,38,51.3,cubewano (hot)
(533028) 2014 AL55,201,43.4,0.24,4,32.8,54,res · 4:7
(60454) 2000 CH105,200,44.2,0.09,1,40.4,48.1,cubewano (cold)
(16684) 1994 JQ1,199,44.3,0.06,4,41.8,46.7,cubewano (cold)
(531917) 2013 BN82,197,43.3,0.2,7,34.5,52.1,res · 4:7
(385266) 2001 QB298,196,43,0.1,2,38.6,47.3,cubewano (cold)
(182933) 2002 GZ31,195,51,0.25,1,38.3,63.7,SDO
(472262) 2014 QN441,195,46.4,0.29,21,33.1,59.6,other TNO
(86047) 1999 OY3,194,44.2,0.17,24,36.6,51.8,Haumea
(118702) 2000 OM67,193,98.9,0.6,23,39.1,159,SDO
(119066) 2001 KJ76,193,44,0.08,7,40.3,47.8,res · 4:7
(183963) 2004 DJ64,193,44.2,0.1,2,39.7,48.7,cubewano (cold)
(385199) 1999 OE4,193,45.8,0.06,2,43.3,48.3,cubewano (cold)
(385445) 2003 QH91,193,39.6,0.15,4,33.7,45.5,plutino
(451657) 2012 WD36,193,76.5,0.51,24,37.6,115,SDO
(455206) 2001 FE193,193,46.9,0.12,3,41.1,52.7,cubewano (cold)
(469584) 2003 YW179,193,42,0.15,2,35.7,48.3,res · 3:5
(500838) 2013 GV137,193,44.1,0.08,3,40.6,47.6,cubewano (cold)
(523618) 2007 RT15,193,39.5,0.23,13,30.3,48.7,plutino
(525596) 2005 JR179,193,47.2,0.11,4,41.8,52.5,cubewano (cold)
(529823) 2010 PP81,193,53.1,0.29,31,37.8,68.4,SDO
(531142) 2012 FL84,193,106,0.64,26,38.6,173,SDO
(531683) 2012 UC178,193,42.1,0.17,3,35.1,49,res · 3:5
(535986) 2015 BN518,193,46.2,0.22,23,36,56.4,other TNO
(592147) 2014 OA394,193,47.1,0.19,4,38.1,56.1,cubewano (cold)
(592245) 2014 QR441,193,68.9,0.38,42,42.6,95.2,SDO
(531076) 2012 DA99,192,42.8,0.03,3,41.4,44.3,cubewano (cold)
(554780) 2013 AQ183,192,46.2,0.16,3,38.9,53.4,cubewano (cold)
(531224) 2012 HK85,191,57.9,0.34,5,38.2,77.7,SDO
(555756) 2014 DH143,191,36.5,0.16,5,30.6,42.3,res · 3:4
(506121) 2016 BP81,190,43.6,0.08,4,40.2,47,cubewano (cold)
(511551) 2014 UD225,190,43.3,0.13,4,37.5,49,cubewano (cold)
(523697) 2014 GY53,190,39.4,0.29,16,27.9,50.9,plutino
(535231) 2014 YJ50,190,39.2,0.2,7,31.5,46.9,plutino
(544430) 2014 UW224,189,55.1,0.4,3,33,77.1,res · 2:5
(469514) 2003 QA91,188,44.7,0.07,2,41.7,47.7,cubewano (cold)
(160256) 2002 PD149,187,43.2,0.06,5,40.8,45.6,cubewano (cold)
(469506) 2003 FF128,187,39.8,0.22,2,31,48.5,plutino
(535987) 2015 BO518,187,46.3,0.23,8,35.6,57,other TNO
(133067) 2003 FB128,186,39.8,0.26,9,29.6,50.1,plutino
(181708) 1993 FW,186,43.8,0.05,8,41.6,46,cubewano (hot)
(532095) 2013 HY156,186,41,0.07,21,38.3,43.7,cubewano (hot)
(535466) 2015 AK281,186,42.6,0.21,17,33.5,51.7,other TNO
(536922) 2015 FP345,186,43.7,0.22,10,34.3,53.1,res · 4:7
(59358) 1999 CL158,185,41.2,0.2,10,32.8,49.7,other TNO
(66452) 1999 OF4,185,45.1,0.07,3,42.1,48.1,cubewano (cold)
(135024) 2001 KO76,185,44,0.11,2,39.1,48.9,res · 4:7
(135742) 2002 PB171,185,43.9,0.13,5,38.3,49.5,cubewano (hot)
(385191) 1997 RT5,185,41.5,0.02,13,40.7,42.4,cubewano (hot)
(444025) 2004 HJ79,185,44.3,0.05,3,42.3,46.3,cubewano (cold)
(505477) 2013 UM15,185,45,0.08,2,41.5,48.5,res · 6:11
(524179) 2001 FQ185,185,47.8,0.23,3,36.8,58.7,twotino
(524747) 2003 UJ292,185,55.4,0.31,11,38,72.8,SDO
(525461) 2005 EN302,185,45.2,0.08,3,41.7,48.7,cubewano (cold)
(527603) 2007 VJ305,185,191,0.82,12,35.1,347,ESDO
(593616) 2015 RG277,185,43.2,0.02,12,42.4,44,cubewano (hot)
(579062) 2014 KF113,184,43,0.18,28,35.1,50.9,cubewano (hot)
(505447) 2013 SQ99,180,44.4,0.09,4,40.4,48.4,cubewano (cold)
(523711) 2014 JH80,180,43.8,0.22,47,34,53.6,other TNO
(583751) 2016 NZ90,180,48,0.29,21,34.3,61.7,twotino
(508788) 2000 CQ114,179,45.9,0.11,3,40.8,51,cubewano (cold)
(533210) 2014 DT143,179,103,0.65,25,35.9,170,SDO
88611 Teharonhiawako,178,44.1,0.03,3,43,45.3,cubewano (cold)
(385437) 2003 GH55,178,44.3,0.08,1,40.7,47.9,cubewano (cold)
(469610) 2004 HF79,177,43.5,0.03,2,42.1,44.9,cubewano (cold)
(530839) 2011 UK411,177,42.4,0.23,13,32.5,52.3,res · 3:5
(19255) 1994 VK8,176,42.6,0.04,2,41.1,44,cubewano (cold)
38083 Rhadamanthus,176,39,0.15,13,33.1,44.9,other TNO
(119070) 2001 KP77,176,44.1,0.18,3,36.1,52.1,res · 4:7
(181874) 1999 HW11,176,53.1,0.26,17,39.4,66.9,SDO
(385533) 2004 QD29,176,43.2,0.12,24,38.1,48.3,cubewano (hot)
(434194) 2003 FK127,176,42.7,0.05,2,40.5,44.9,cubewano (cold)
(444018) 2004 EU95,176,44.5,0.05,3,42.3,46.7,cubewano (cold)
(500835) 2013 GN137,176,44.4,0.07,3,41.3,47.6,cubewano (cold)
(529938) 2010 TM182,176,39.3,0.16,6,32.9,45.7,plutino
(530941) 2011 XJ4,176,45.7,0.19,11,36.9,54.6,cubewano (hot)
(560414) 2015 FQ345,176,72.1,0.56,12,31.6,113,SDO
(602572) 2014 MD70,176,49.9,0.27,11,36.5,63.2,other TNO
(523766) 2014 WF510,175,39.4,0.23,26,30.6,48.3,plutino
(578834) 2014 GF54,174,39.6,0.19,9,32.1,47.1,plutino
(533208) 2014 DQ143,172,77.9,0.54,26,35.5,120,SDO
(524366) 2001 XR254,171,42.7,0.04,1,41.1,44.3,cubewano (cold)
(543435) 2014 GC54,171,39.4,0.26,20,29.2,49.5,plutino
(38084) 1999 HB12,170,55.8,0.42,13,32.6,79.1,res · 2:5
(568573) 2004 HN79,170,45.9,0.23,12,35.2,56.6,SDO
(275809) 2001 QY297,169,44.2,0.08,2,40.5,47.9,cubewano (cold)
(531016) 2012 BZ154,169,76,0.53,26,36,116,SDO
(15883) 1997 CR29,168,46.9,0.21,19,37,56.7,other TNO
(69987) 1998 WA25,168,42.3,0.02,1,41.3,43.2,cubewano (cold)
(119069) 2001 KN77,168,39.5,0.24,2,29.8,49.2,plutino
(134210) 2005 PQ21,168,62.9,0.4,7,37.6,88.1,SDO
(148112) 1999 RA216,168,44,0.04,1,42.1,45.9,cubewano (cold)
(182222) 2000 YU1,168,43.4,0.1,6,39.2,47.5,cubewano (hot)
(427614) 2003 SR422,168,39.9,0.05,24,37.8,42.1,other TNO
(455171) 1999 OM4,168,46.2,0.12,2,40.5,51.8,cubewano (cold)
(455209) 2001 KT76,168,45.5,0.09,2,41.4,49.5,cubewano (cold)
(471155) 2010 GF65,168,33.7,0.34,12,22.1,45.2,centaur
(495190) 2012 VS113,168,55.3,0.31,27,38,72.5,SDO
(501105) 2013 SA87,168,41.7,0.07,41,38.7,44.7,cubewano (hot)
(508770) 1995 WY2,168,46.2,0.13,2,40.3,52.1,cubewano (cold)
(523652) 2011 LZ28,168,63.8,0.56,14,27.9,99.8,centaur
(523700) 2014 GM54,168,39.9,0.39,54,24.2,55.6,plutino
(523771) 2014 XP40,168,102,0.73,12,27.8,176,centaur
(535168) 2014 XU40,168,39.2,0.17,5,32.5,45.9,plutino
(536921) 2015 FO345,168,40.4,0.14,20,35,45.9,other TNO
(550564) 2012 PU45,168,44.1,0.29,24,31.1,57.1,other TNO
(594994) 2000 QA243,168,39.5,0.2,2,31.4,47.6,plutino
(469704) 2005 EZ296,166,39.5,0.15,2,33.5,45.5,plutino
(505476) 2013 UL15,166,46.1,0.1,2,41.4,50.8,cubewano (cold)
(118228) 1996 TQ66,165,39.3,0.12,15,34.5,44.1,plutino
(523751) 2014 UU224,165,39.4,0.22,15,30.6,48.2,plutino
(127546) 2002 XU93,164,66.8,0.69,78,21,113,centaur
(138537) 2000 OK67,164,46.6,0.14,5,40,53.1,cubewano (cold)
(558095) 2014 WA536,164,55.1,0.45,27,30.5,79.7,res · 2:5
(316179) 2010 EN65,163,30.5,0.31,19,21.1,40,centaur
(523703) 2014 HX199,163,39.8,0.23,15,30.6,49,plutino
42355 Typhon,162,37.7,0.53,2,17.6,57.8,centaur
(80806) 2000 CM105,162,42,0.07,4,39.2,44.8,cubewano (cold)
(534314) 2014 SJ349,162,42.2,0.16,9,35.3,49.1,res · 3:5
(545293) 2011 FX62,162,47.9,0.57,18,20.4,75.4,centaur
(555426) 2013 XD26,162,40.4,0.11,30,36.1,44.6,other TNO
(88267) 2001 KE76,161,43.3,0.02,1,42.3,44.3,cubewano (cold)
(126619) 2002 CX154,161,71.6,0.47,16,38.1,105,SDO
(129772) 1999 HR11,161,43.9,0.04,3,42.2,45.7,res · 4:7
(135571) 2002 GG32,161,56.1,0.36,15,35.9,76.3,res · 2:5
(138628) 2000 QM251,161,44.7,0.27,16,32.7,56.7,other TNO
(306792) 2001 KQ77,161,39.9,0.16,16,33.4,46.3,plutino
(385458) 2003 SP317,161,46.2,0.17,5,38.4,54.1,cubewano (hot)
(385607) 2005 EO297,161,62.7,0.34,25,41.2,84.2,res · 1:3
(437871) 2001 FN185,161,42.8,0.08,22,39.4,46.1,cubewano (hot)
(500834) 2013 GK137,161,39.4,0.17,10,32.6,46.2,plutino
(531075) 2012 DY98,161,70.8,0.5,19,35.1,106,SDO
(535025) 2014 WT509,161,47.2,0.25,12,35.5,59,twotino
(552679) 2010 JH210,161,39.6,0.24,12,29.9,49.3,plutino
(592149) 2014 OR394,161,146,0.77,13,33.7,258,SDO
(577627) 2013 HZ156,160,41,0.11,20,36.5,45.5,cubewano (hot)
(135182) 2001 QT322,159,37,0.02,2,36.2,37.8,other TNO
(533398) 2014 GA54,159,41.4,0.25,16,31,51.8,centaur
(535229) 2014 YG50,159,39.2,0.2,19,31.6,46.8,plutino
(469707) 2005 GB187,158,39.6,0.24,15,30.2,49.1,plutino
(443843) 2001 FO185,156,46.5,0.12,11,41.1,52,cubewano (hot)
15760 Albion,154,43.9,0.07,2,40.8,47,cubewano (cold)
(15875) 1996 TP66,154,39.2,0.33,6,26.3,52.2,plutino
(76803) 2000 PK30,154,38.9,0.12,34,34,43.7,other TNO
(137295) 1999 RB216,154,47.8,0.3,13,33.6,62,twotino
(184212) 2004 PB112,154,108,0.67,15,35.3,180,SDO
(308460) 2005 SC278,154,34.8,0.06,2,32.6,36.9,res · 4:5
(415720) 1999 RU215,154,43.2,0.07,8,40,46.4,cubewano (hot)
(470309) 2007 JK43,154,46.7,0.49,45,23.6,69.8,centaur
(505446) 2013 SP99,154,43.7,0.06,1,41.1,46.4,cubewano (cold)
(523899) 1997 CV29,154,42.2,0.05,8,40.3,44.2,cubewano (hot)
(524613) 2003 QW113,154,51.6,0.49,7,26.4,76.8,centaur
(524834) 2003 YL179,154,38.6,0,3,38.5,38.7,other TNO
(525816) 2005 SF278,154,43.8,0.19,13,35.5,52,res · 4:7
(532039) 2013 FR28,154,43.9,0.24,3,33.2,54.6,res · 4:7
(532184) 2013 OR11,154,79,0.62,21,29.8,128,centaur
(534161) 2014 RQ63,154,39.1,0.19,10,31.7,46.4,plutino
(535032) 2014 WP510,154,39.3,0.18,8,32.4,46.2,plutino
(535167) 2014 XT40,154,39.2,0.19,7,31.8,46.6,plutino
(119067) 2001 KP76,153,43.9,0.19,7,35.5,52.3,res 4:7
(15807) 1994 GV9,152,43.7,0.06,1,41.2,46.3,cubewano (cold)
(525462) 2005 EO304,152,45.7,0.07,3,42.5,48.9,cubewano (cold)
(535019) 2014 WE509,152,36.3,0.09,14,33.1,39.4,res · 3:4
(44594) 1999 OX3,151,32.5,0.46,3,17.6,47.4,centaur
(181871) 1999 CO153,151,43.4,0.08,1,39.9,47,res · 4:7
(531074) 2012 DX98,151,47.9,0.27,13,35.1,60.7,twotino
(535024) 2014 WR509,151,39.3,0.34,26,25.8,52.7,plutino
(523701) 2014 HT199,150,39.5,0.24,14,29.8,49.2,plutino
(535169) 2014 XX40,150,79.5,0.59,20,32.2,127,SDO
(533562) 2014 JQ80,149,39.6,0.22,8,30.9,48.3,plutino
(60621) 2000 FE8,148,55.3,0.4,6,33.2,77.4,res · 2:5
(556130) 2014 KV101,148,39.5,0.26,17,29.1,49.9,plutino
(47932) 2000 GN171,147,39.7,0.29,11,28.3,51.2,plutino
(69988) 1998 WA31,147,54.9,0.43,10,31.3,78.5,res · 2:5
(85627) 1998 HP151,147,44.4,0.09,2,40.2,48.5,cubewano (cold)
(95625) 2002 GX32,147,53.7,0.38,14,33.2,74.3,res · 3:7
(131696) 2001 XT254,147,52.7,0.32,1,35.9,69.5,res · 3:7
(160091) 2000 OL67,147,45.4,0.11,2,40.3,50.6,cubewano (cold)
(181867) 1999 CV118,147,52.5,0.29,6,37.5,67.4,res · 3:7
(181902) 1999 RD215,147,125,0.7,26,37.5,212,SDO
(182926) 2002 FU6,147,45.9,0.15,2,39,52.9,cubewano (cold)
(469362) 2001 KB77,147,40,0.29,18,28.4,51.6,plutino
(491768) 2012 VV113,147,46.2,0.12,16,40.8,51.7,cubewano (hot)
(500829) 2013 GT136,147,42.6,0.15,12,36.2,48.9,cubewano (hot)
(500836) 2013 GQ137,147,46,0.13,3,39.9,52.1,cubewano (cold)
(500837) 2013 GT137,147,44.9,0.11,2,40.2,49.7,cubewano (cold)
(500883) 2013 JJ65,147,39.5,0.25,20,29.6,49.4,plutino
(500886) 2013 JN65,147,41,0.01,20,40.7,41.2,other TNO
(506479) 2003 HB57,147,165,0.77,16,38.1,292,ESDO
(511554) 2014 UL225,147,46.2,0.2,8,37.1,55.2,cubewano (hot)
(511555) 2014 UM225,147,44.4,0.1,18,40.1,48.7,cubewano (hot)
(523955) 1998 UU43,147,36.3,0.13,10,31.6,40.9,res · 3:4
(555591) 2014 AF61,147,45.1,0.23,28,34.9,55.2,other TNO
(578992) 2014 JL80,147,39.6,0.28,6,28.4,50.7,plutino
(127871) 2003 FC128,146,34.9,0.08,2,32,37.8,res · 4:5
(139775) 2001 QG298,146,39.6,0.2,7,31.7,47.4,plutino
(560039) 2015 FP36,145,39.6,0.33,24,26.4,52.7,plutino
(500880) 2013 JJ64,143,48,0.09,8,43.8,52.2,twotino
385446 Manwë,142,44,0.11,3,39.1,49,res · 4:7
(471325) 2011 KT19,142,35.7,0.33,110,23.9,47.5,centaur
(181868) 1999 CG119,141,49.3,0.29,17,35,63.5,other TNO
(20161) 1996 TR66,140,48,0.4,12,28.7,67.2,twotino
(24978) 1998 HJ151,140,43.7,0.05,2,41.5,45.9,cubewano (cold)
(385527) 2004 OK14,140,44.3,0.25,4,33.2,55.4,res · 4:7
(385528) 2004 OR15,140,56.8,0.35,7,37.2,76.5,SDO
(468422) 2000 FA8,140,44.2,0.04,1,42.6,45.7,cubewano (cold)
(523615) 2006 UO321,140,43.6,0.04,2,42,45.2,cubewano (cold)
(524457) 2002 FW6,140,36.5,0.12,4,32.1,40.9,res · 3:4
(535017) 2014 WY508,140,99.7,0.71,21,28.8,171,centaur
(535988) 2015 BU518,140,44,0.28,11,31.8,56.3,other TNO
(602715) 2014 OO394,140,57.6,0.41,3,34.1,81.1,SDO
(126155) 2001 YJ140,138,39.2,0.29,6,27.9,50.4,plutino
(134860) 2000 OJ67,138,43.2,0.02,1,42.2,44.1,cubewano (cold)
469705 ǂKá̦gára,138,43.8,0.09,3,40,47.7,cubewano (cold)
(523704) 2014 HB200,138,39.6,0.24,9,29.9,49.2,plutino
(120181) 2003 UR292,136,32.3,0.17,3,26.7,37.9,centaur
(182223) 2000 YC2,136,58.3,0.38,20,35.9,80.6,SDO
(456826) 2007 TH422,136,39.2,0.28,29,28.4,50,plutino
(469708) 2005 GE187,136,39.7,0.33,18,26.6,52.8,plutino
(24952) 1997 QJ4,135,39.4,0.23,17,30.5,48.3,plutino
(91133) 1998 HK151,134,39.7,0.23,6,30.4,49.1,plutino
(118378) 1999 HT11,134,44.1,0.12,5,38.8,49.4,res · 4:7
(118379) 1999 HC12,134,45.6,0.23,15,35,56.3,other TNO
(439858) 1999 ON4,134,42.8,0.04,3,40.9,44.7,cubewano (cold)
(470083) 2006 SG369,134,47.6,0.37,14,30.1,65.2,twotino
(500856) 2013 HT156,134,44.3,0.01,4,43.7,44.9,cubewano (cold)
(577578) 2013 GW136,134,47.9,0.35,7,31.3,64.6,twotino
(587670) 2006 QE181,134,42.8,0.03,2,41.4,44.1,cubewano (cold)
(602714) 2014 ON394,134,63.2,0.48,12,32.5,93.8,SDO
(511553) 2014 UK225,133,43.6,0.13,11,38,49.2,cubewano (hot)
(183964) 2004 DJ71,132,52.6,0.38,11,32.7,72.6,res · 3:7
(434709) 2006 CJ69,132,42,0.23,18,32.5,51.4,res · 3:5
(82157) 2001 FM185,130,38.5,0.06,5,36.1,40.9,other TNO
(469438) 2002 GV31,130,44.1,0.09,2,40,48.2,cubewano (cold)
(555758) 2014 DP143,129,39.6,0.26,24,29.3,49.9,plutino
15810 Arawn,128,39.7,0.12,4,34.9,44.5,plutino
(15836) 1995 DA2,128,36.3,0.07,7,33.7,38.9,res · 3:4
(20108) 1995 QZ9,128,39.4,0.15,20,33.6,45.2,plutino
(49673) 1999 RA215,128,43.2,0.1,23,38.8,47.7,cubewano (hot)
(131695) 2001 XS254,128,37,0.05,4,35.3,38.8,other TNO
(181855) 1998 WT31,128,45.8,0.18,29,37.6,54,cubewano (hot)
(491767) 2012 VU113,128,39.6,0.08,30,36.4,42.8,plutino
(500839) 2013 GW137,128,43.2,0.07,5,40.2,46.1,cubewano (hot)
(500878) 2013 JG64,128,42,0.1,18,37.7,46.4,cubewano (hot)
(523764) 2014 WC510,128,39.3,0.25,20,29.5,49,plutino
(469505) 2003 FE128,127,48.2,0.26,3,35.9,60.5,twotino
66652 Borasisi,126,44.1,0.09,1,40.1,48.1,cubewano (cold)
(79969) 1999 CP133,125,34.8,0.08,3,32,37.6,res · 4:5
(523983) 1999 RY214,125,45.1,0.18,14,37.1,53.1,cubewano (hot)
(535992) 2015 BF519,125,39.1,0.32,19,26.6,51.6,other TNO
(15809) 1994 JS,122,42.6,0.22,14,33.1,52.2,res · 3:5
(91554) 1999 RZ215,122,104,0.7,26,30.9,176,SDO
(131318) 2001 FL194,122,39.6,0.18,14,32.6,46.6,plutino
(143685) 2003 SS317,122,36.4,0.23,6,27.8,44.9,res · 3:4
(160148) 2001 KV76,122,70.9,0.52,15,34.4,107,res · 2:7
(308933) 2006 SQ372,122,905,0.97,20,24.1,1786,centaur
(364171) 2006 JZ81,122,44.8,0.08,4,41.1,48.5,cubewano (cold)
(500828) 2013 GR136,122,44,0.08,2,40.3,47.6,res · 4:7
(500840) 2013 GA138,122,44.1,0.05,4,41.8,46.5,cubewano (cold)
(503883) 2001 QF331,122,42.5,0.26,3,31.6,53.4,res · 3:5
(508792) 2000 FX53,122,43.8,0.14,5,37.9,49.7,cubewano (cold)
(523787) 2015 DV224,122,55.9,0.61,30,22.1,89.8,centaur
(547616) 2010 TR195,122,39.5,0.26,18,29.1,49.8,plutino
(543734) 2014 OL394,121,42.3,0.27,5,30.8,53.7,res · 3:5
(555916) 2014 GB54,120,39.6,0.29,26,28.1,51.1,plutino
(579246) 2014 OX415,119,39.5,0.27,19,28.7,50.2,plutino
(52747) 1998 HM151,117,44.8,0.07,1,41.9,47.7,cubewano (cold)
(60458) 2000 CM114,117,59.2,0.4,20,35.4,83,SDO
(60608) 2000 EE173,117,49.2,0.54,6,22.6,75.8,centaur
(136120) 2003 LG7,117,63.1,0.48,20,32.5,93.7,res · 1:3
(427581) 2003 QB92,117,34.9,0.09,4,31.7,38.2,res · 4:5
(438028) 2004 EH96,117,39.7,0.28,3,28.5,50.9,plutino
(488644) 2003 HY56,117,42.9,0.04,3,41.1,44.6,cubewano (cold)
(500830) 2013 GU136,117,44.4,0.17,8,36.8,52,cubewano (hot)
(523755) 2014 WZ508,117,76.7,0.69,24,23.5,130,centaur
(524365) 2001 XQ254,117,55.1,0.44,7,31.1,79.1,res · 2:5
(534315) 2014 SK349,117,39.7,0.29,9,28,51.3,plutino
(594337) 2016 QU89,117,175,0.8,17,35.2,314,ESDO
(578997) 2014 JR92,116,43.1,0.4,28,25.7,60.5,centaur
(15788) 1993 SB,114,39.2,0.32,2,26.7,51.7,plutino
(532027) 2013 EH154,113,31.8,0.2,8,25.5,38.2,centaur
(73480) 2002 PN34,112,31.1,0.57,17,13.3,48.8,centaur
(45802) 2000 PV29,111,43.6,0.01,1,43,44.3,cubewano (cold)
(54520) 2000 PJ30,111,126,0.77,6,28.7,223,centaur
(91205) 1998 US43,111,39.1,0.13,11,33.9,44.2,plutino
(130391) 2000 JG81,111,47.9,0.29,23,34.2,61.6,twotino
(169071) 2001 FR185,111,39.6,0.2,6,31.8,47.5,plutino
(500876) 2013 JD64,111,73.1,0.42,50,42.6,104,SDO
(500888) 2013 JP65,111,41.6,0.07,13,38.9,44.3,cubewano (hot)
(523770) 2014 XO40,111,58.5,0.72,27,16.2,101,centaur
(530838) 2011 UC411,111,39.2,0.27,5,28.6,49.9,plutino
(524217) 2001 RZ143,108,44.1,0.06,2,41.2,46.9,cubewano (cold)
(19299) 1996 SZ4,106,39.4,0.26,5,29.3,49.5,plutino
(69990) 1998 WU31,106,39,0.18,7,31.8,46.2,plutino
(123509) 2000 WK183,106,44.1,0.04,2,42.4,45.9,cubewano (cold)
(134568) 1999 RH215,106,43.9,0.15,10,37.1,50.7,cubewano (hot)
(149560) 2003 QZ91,106,41.7,0.48,35,21.7,61.7,centaur
(523672) 2013 FJ28,106,35.3,0.45,22,19.5,51,centaur
(119473) 2001 UO18,105,39.5,0.28,4,28.3,50.7,plutino
(29981) 1999 TD10,104,95.1,0.87,6,12.2,178,centaur
(434390) 2005 CH81,103,54.8,0.31,5,37.6,72,SDO
341520 Mors-Somnus,102,39.2,0.27,11,28.8,49.6,plutino
(118698) 2000 OY51,101,44.1,0.24,11,33.6,54.6,res · 4:7
(469420) 2001 XP254,101,41.9,0.21,3,33,50.8,res · 3:5
(500831) 2013 GV136,101,41.4,0.04,7,39.9,42.8,cubewano (hot)
(500832) 2013 GZ136,101,88.6,0.62,18,33.9,143,SDO
(500877) 2013 JE64,101,48.3,0.29,8,34.3,62.3,twotino
(500881) 2013 JM64,101,42.7,0.05,7,40.4,45,cubewano (hot)
(500887) 2013 JO65,101,42.8,0.09,10,39.1,46.5,cubewano (hot)
(576257) 2012 JD68,101,39.6,0.29,29,27.9,51.2,plutino
(600217) 2011 QY100,101,163,0.88,26,19.6,307,centaur
(469442) 2002 GG166,100,34.9,0.59,8,14.1,55.6,centaur
(69986) 1998 WW24,97,39.2,0.22,14,30.5,48,plutino
(131697) 2001 XH255,97,34.7,0.07,3,32.3,37.2,res · 4:5
(168700) 2000 GE147,97,39.7,0.24,5,30.3,49.1,plutino
(500833) 2013 GD137,97,39.6,0.11,7,35.3,43.9,plutino
(500882) 2013 JN64,97,53.7,0.29,8,37.8,69.5,res · 3:7
(534631) 2014 UX229,97,39.5,0.33,16,26.3,52.7,plutino
(591376) 2013 NL24,97,40.1,0.39,5,24.7,55.6,centaur
(129746) 1999 CE119,94,39.4,0.27,2,28.8,50,plutino
(514312) 2016 AE193,94,30.8,0.46,10,16.5,45.1,centaur
(523720) 2014 LN28,94,36.8,0.56,9,16.3,57.2,centaur
(385185) 1993 RO,93,39.1,0.2,4,31.4,46.7,plutino
(591486) 2013 TA188,93,39.5,0.28,10,28.4,50.7,plutino
(593617) 2015 RN278,93,35,0.05,7,33.4,36.7,res · 4:5
(87555) 2000 QB243,92,35,0.56,7,15.2,54.8,centaur
(581804) 2015 KN167,92,48,0.21,6,37.8,58.2,twotino
