Name,Diameter,"a
(AU)",e,"i
(°)","q
(AU)","Q
(AU)",Class
(471288) 2011 GM27,382,43.6,0.03,13,42.5,44.7,cubewano (hot)
(523690) 2014 DN143,382,47,0.07,7,43.7,50.3,cubewano (hot)
(523724) 2014 MA70,381,43.9,0.09,4,40,47.9,cubewano (cold)
(574441) 2010 OE153,379,58.3,0.39,33,35.6,81,SDO
(495613) 2015 FG345,377,42.1,0.13,36,36.7,47.6,cubewano (hot)
(555678) 2014 CO23,377,43.7,0.17,8,36.1,51.3,cubewano (hot)
(493480) 2014 YZ49,375,40.1,0.01,17,39.5,40.7,other TNO
(523745) 2014 TD86,375,42.8,0.01,2,42.2,43.4,cubewano (cold)
(523721) 2014 LR28,374,44.3,0.05,2,42.2,46.4,cubewano (cold)
(145480) 2005 TB190,372,76.8,0.4,26,46.2,107,SDO
(523773) 2014 XS40,372,42.2,0.16,28,35.3,49.1,cubewano (hot)
(523659) 2012 HG84,368,43.4,0.09,11,39.4,47.4,cubewano (hot)
(529780) 2010 MQ116,368,42.2,0.17,31,34.8,49.5,cubewano (hot)
(120348) 2004 TY364,365,38.9,0.06,25,36.5,41.4,other TNO
(471318) 2011 JF31,365,41.5,0.13,28,36.1,46.9,cubewano (hot)
(523678) 2013 XB26,365,45.5,0.01,4,45.2,45.9,cubewano (cold)
(523777) 2014 YF50,363,78.9,0.55,18,35.7,122,SDO
(524435) 2002 CY248,363,46,0.15,7,39,52.9,cubewano (hot)
(555915) 2014 GX53,363,40.8,0.14,15,35.1,46.5,res · 7:11
(483002) 2014 QS441,362,47.1,0.08,38,43.2,51,cubewano (hot)
(555820) 2014 EA52,362,41.4,0.1,19,37.3,45.5,cubewano (hot)
(523738) 2014 SH349,358,43.3,0.15,17,36.6,50,cubewano (hot)
(444745) 2007 JF43,357,39.6,0.19,15,32.2,47,plutino
(471165) 2010 HE79,355,39.1,0.18,16,32.1,46.1,other TNO
(471921) 2013 FC28,354,45.8,0.08,16,41.9,49.6,cubewano (hot)
(26181) 1996 GQ21,352,93.8,0.59,13,38.4,149,SDO
(42301) 2001 UR163,352,51.8,0.29,1,37,66.6,res · 4:9
(523736) 2014 QA442,352,43.4,0.19,27,35.3,51.6,cubewano (hot)
(530055) 2010 VW224,352,43.6,0.14,9,37.4,49.8,cubewano (hot)
(534625) 2014 UQ224,352,44.2,0.06,2,41.8,46.7,cubewano (cold)
541132 Leleākūhonua,352,1031,0.94,12,65,1998,sednoid
(523601) 2003 UY413,350,47.5,0.21,21,37.3,57.6,other TNO
(576256) 2012 JH67,350,47.8,0.27,7,34.8,60.7,twotino
(305543) 2008 QY40,347,62.7,0.41,25,36.8,88.6,SDO
(535228) 2014 YE50,347,59.1,0.38,27,36.8,81.3,SDO
(126154) 2001 YH140,345,42.1,0.14,11,36.4,47.8,res · 3:5
(312645) 2010 EP65,345,47.6,0.3,19,33.1,62.1,twotino
(471210) 2010 VW11,345,50.6,0.28,28,36.5,64.7,SDO
(532092) 2013 HU156,345,39.6,0.12,21,34.9,44.4,plutino
(523769) 2014 WS510,344,54.8,0.37,9,34.5,75.2,res · 2:5
(523687) 2014 DF143,342,42.6,0.05,24,40.7,44.6,cubewano (hot)
(523763) 2014 WZ509,342,40.1,0.1,16,36.1,44,other TNO
(523688) 2014 DK143,341,42.4,0.16,11,35.8,49,res · 3:5
